cid,nlane,turn,dnroad,geom,len,Up_Node,Down_Node,is_in,Count,Count1
4556_4608,0,R#S#U#L,4608_4565#4608_4624#4608_4556#4608_4639,"LINESTRING (118.720366092 30.9333274580001, 118.721788365 30.9347461990001, 118.723033414 30.9361063050001, 118.723423745 30.93659868)",466.0891217,4556,4608,1.0,4162.0,4161.0
4562_4493,2,R#S#U,4493_4521#4493_4471#4493_4562,"LINESTRING (118.744551331 30.9331701630001, 118.744173529 30.9328615850001, 118.743955251 30.932679224, 118.743391348 30.9322081020001, 118.742415437 30.931400265, 118.741484627 30.9306338490001, 118.740516166 30.929841584, 118.736351565 30.9267130750001)",1061.732347,4562,4493,1.0,4175.0,4176.0
4562_4589,0,S#U#R,4589_4605#4589_4562#4589_4660,"LINESTRING (118.744551331 30.9331701630001, 118.741948725 30.9341732460001, 118.739577563 30.9351472700001)",523.4868028,4562,4589,1.0,4175.0,4176.0
4563_4554,4,L#S#U#R,4554_4526#4554_4536#4554_4563#4554_4634,"LINESTRING (118.773508757 30.933634639, 118.770040852 30.93294402, 118.768301862 30.9326119150001)",510.3866174,4563,4554,1.0,4176.0,4127.0
4563_4642,2,L#U#R,4642_4634#4642_4563#4642_4663,"LINESTRING (118.773508757 30.933634639, 118.772031929 30.938383926)",545.1331419,4563,4642,1.0,4175.0,4127.0
4563_9001,2,L#R#U#S,9001_4579#9001_4526#9001_4563#9001_8356,"LINESTRING (118.773508757 30.933634639, 118.778407789 30.930601649)",576.4482643,4563,9001,1.0,4159.0,4127.0
4565_4539,0,S#L#R#U,4539_4521#4539_4616#4539_4496#4539_4565,"LINESTRING (118.728212366 30.9343747550001, 118.729465972 30.9338049720001, 118.731819551 30.9326258180001, 118.732547421 30.932228223)",477.9596686,4565,4539,1.0,4175.0,4174.0
4565_4603,2,S#U#L,4603_4630#4603_4565#4603_4624,"LINESTRING (118.728212366 30.9343747550001, 118.729375318 30.936172577)",228.2139127,4565,4603,1.0,4171.0,4174.0
4589_4605,4,S#R#L#U,4605_4616#4605_4671#4605_4521#4605_4589,"LINESTRING (118.739577563 30.9351472700001, 118.73797579 30.935710069, 118.736906635 30.936118166)",277.0539137,4589,4605,1.0,4175.0,4175.0
4603_4630,3,L#S#U#R,4630_4650#4630_4680#4630_4603#4630_4616,"LINESTRING (118.729375318 30.936172577, 118.729672671 30.93659318, 118.730681581 30.9379805, 118.730885966 30.9383085260001)",277.4213668,4603,4630,1.0,4175.0,4171.0
4605_4616,4,S#L#U#R,4616_4630#4616_4539#4616_4605#4616_8362,"LINESTRING (118.736906635 30.936118166, 118.735078607 30.9367529200001, 118.734355454 30.937019531)",263.5074431,4605,4616,1.0,4174.0,4175.0
